input,target
3.1 acres infill lot zoned R-3 with utilities at site and strong school district demand,1420000
18 acres suburban edge land with partial utilities and pending zoning variance,3250000
7.5 acres near highway interchange with commercial zoning and clear title,2780000
2.2 acres floodplain constraints requiring elevated pad and drainage improvements,540000
12 acres entitled for 96 townhomes in growth corridor with absorption over 24 months,4890000
4.8 acres raw land no sewer access and 9 month entitlement risk,980000
25 acres master planned community parcel with backbone infrastructure complete,9150000
6 acres mixed use zoning near transit with moderate impact fees,2640000
9 acres steep topography with significant grading and retaining wall scope,1180000
1.7 acres urban infill with by right multifamily zoning and low site prep needs,1730000
14 acres exurban tract with septic requirements and uncertain takeout pricing,1840000
10 acres near new employment center with utilities stubbed and strong builder interest,4020000
5 acres brownfield remediation required before vertical construction,860000
30 acres phased development parcel with arterial frontage and completed traffic study,11200000
8.5 acres adjacent to existing subdivision with straightforward platting,3180000
11 acres wetlands mitigation needed on 20 percent of site area,1620000
3.8 acres entitled senior housing site with rising cap rates and slower demand,1260000
16 acres shovel ready single family lots in constrained supply market,6280000
21 acres outside city limits requiring annexation and utility extension,2710000
2.9 acres small lot product opportunity with high achievable price per lot,1980000
