input,target
"Complete city building fee schedule with effective date, source URL, valuation basis, unit count, square footage, school district confirmation, and utility agency fee tables attached.",ready_to_budget
"Budget packet includes official permit, traffic, park, sewer, and school fee schedules plus confirmed connection counts and current schedule dates.",ready_to_budget
"All applicable agencies are identified, formulas are keyed from the latest adopted fee resolutions, and the project valuation and dwelling unit totals are final.",ready_to_budget
"Impact fee workbook includes city, county, fire, water, sewer, and school district schedules with current effective dates and no missing quantities.",ready_to_budget
"Building permit budget has valuation, plan check formula, CALGreen fees, meter counts, and agency source references for every line item.",ready_to_budget
"Jurisdiction memo confirms annexation status, service provider boundaries, and the exact agencies collecting building, utility, and school fees.",ready_to_budget
"Fee budget package has final land use counts, tract map phase counts, and official fee schedules for each district that applies to the project.",ready_to_budget
"All source documents are current and the analyst already reconciled city fee tables against agency web postings and adopted resolutions.",ready_to_budget
"Current adopted fee resolutions are loaded for every district and the model has final unit counts, square footage, and valuation.",ready_to_budget
"The intake packet includes current city, utility, fire, and school fee schedules with each line item tied to a live source citation.",ready_to_budget
"Every collecting agency has been confirmed and all formulas are matched to the current official fee tables.",ready_to_budget
"The project has final service connections, final building valuation, and complete official source material for permit and impact fees.",ready_to_budget
"School district is still unknown even though city permit and utility fee schedules are attached.",not_ready
"City schedule is current but the water district serving the parcel has not been confirmed.",not_ready
"Plan check and permit formulas are known, but the team still needs the latest traffic and park impact fee resolution.",not_ready
"Project unit count is settled, yet the fee packet is missing sewer capacity charges and current school fee rates.",not_ready
"The analyst has fee schedules from last year and needs confirmation that no updated ordinance took effect this quarter.",not_ready
"Budget assumptions are mostly complete, but meter size and fire sprinkler fee applicability still need agency confirmation.",not_ready
"County impact fees were captured, although the parcel may actually sit inside city limits and agency jurisdiction needs to be reconciled.",not_ready
"The fee worksheet references old PDFs without an adoption date for building, drainage, and transportation impact charges.",not_ready
"Only the city name was provided with no official fee schedules, no unit counts, and no valuation.",not_ready
"Need a perfect fee budget for a project somewhere in California but no parcel, district, or agency information is available.",not_ready
"Analyst wants permit and impact fees but did not provide building valuation, square footage, or number of units.",not_ready
"No school district, no utility provider, and no source documents were identified for the fee budget request.",not_ready
"The request asks for exact jurisdictional fees but contains only a broker flyer and rough lot count assumptions.",not_ready
"Utility connection fees cannot be priced because connection count, meter size, and provider are all missing.",not_ready
"Building permit budget is blocked because the project scope, valuation basis, and adopted fee schedule are absent.",not_ready
"Impact fee budget request has no agency list, no schedule effective dates, and no formulas from official sources.",not_ready
"Fee budget still needs schedule verification because some source URLs are missing and the school fee district has not been confirmed.",not_ready
"The line-item math cannot be finalized until the current city update and utility connection charge table are confirmed.",not_ready
