input,target
My internet connection drops every hour,technical_support
The app crashes when I upload a file,technical_support
I need to reset my password,technical_support
Can you update the email on my account,account_management
Please change my billing address,account_management
I want to cancel my subscription,account_management
I was charged twice for this month,billing
Can I get a refund for this invoice,billing
Why is there a late fee on my statement,billing
How do I upgrade to the enterprise plan,sales
Can your platform support 500 users,sales
I need pricing details for annual contracts,sales
