input,target
"By-right single-family zoning, clean title review, utilities at site, and seller has current topo, Phase I, and geotech ready for diligence.",advance
"Vesting tentative map approved, sewer and water capacity confirmed, and offsite work appears limited to frontage improvements.",advance
"Finished lot opportunity with recorded final map, improvement plans substantially complete, and builder demand already proven in adjacent phases.",advance
"Residential parcel within city limits with clear access, low grading exposure, and no environmental findings in preliminary reports.",advance
"Infill detached housing site with clean ALTA title, existing utilities, and agency feedback indicating a straightforward entitlement path.",advance
"Entitled residential land with school demand, nearby rooftops, and no identified wetlands, floodplain, or remediation issues.",advance
"Paper lot deal with final engineering well advanced, bondable improvements, and confirmed utility capacity from the agencies.",advance
"Shovel-ready subdivision site with arterial frontage, limited offsite obligations, and a purchase contract that gives enough diligence time.",advance
"Subdivision parcel adjacent to an existing community with clean access, manageable civil scope, and no unresolved title exceptions.",advance
"Residential land opportunity with completed traffic work, low site prep, and seller diligence files that materially shorten execution risk.",advance
"Approved detached lot project with clear conditions of approval, available sewer, and no annexation or rezone required.",advance
"Residential acquisition candidate with by-right zoning, strong market support, and a clear path from diligence to takedown.",advance
"Near-term land buy where utility letters, title review, and environmental screening all came back clean enough to keep pushing forward.",advance
"Site sits within city limits, has confirmed frontage and access, and the civil engineer sees no unusual lot yield or grading constraints.",advance
"Entry-level detached housing tract with existing subdivision comps, clean entitlement posture, and limited diligence gaps remaining.",advance
"Promising residential site, but sewer capacity still needs to be confirmed and the city wants more detail on offsite improvements.",targeted_follow_up
"Good subdivision location with clean title so far, though annexation timing and utility extension cost still need focused diligence.",targeted_follow_up
"Parcel is near existing rooftops, but wetlands delineation and lot yield assumptions need to be validated before advancing.",targeted_follow_up
"The site looks workable for detached homes, but traffic study updates and fire flow upgrades remain open diligence items.",targeted_follow_up
"Residential land candidate has builder interest, though impact fees, drainage design, and school fee exposure still need underwriting.",targeted_follow_up
"Town edge tract with decent access and market support, but entitlement timing is not yet certain and a public hearing still lies ahead.",targeted_follow_up
"Site appears attractive, but ALTA exceptions, easement language, and exact access rights need attorney review before contract hard money.",targeted_follow_up
"Potential lot development deal with manageable grading, though the geotech report and retaining wall assumptions still need confirmation.",targeted_follow_up
"By-right zoning helps, but the purchase agreement needs tighter extension rights and better control over diligence deliverables from seller.",targeted_follow_up
"The parcel fits the builder buy box, but utility relocation cost and frontage dedication scope remain unresolved.",targeted_follow_up
"Residential tract has no obvious fatal flaw, though CEQA timing, school district coordination, and reimbursement potential need more work.",targeted_follow_up
"Attractive infill land play with nearby utilities, but there is still uncertainty around exact density, pad count, and offsite signal timing.",targeted_follow_up
"Subdivision site benefits from good location, although title cleanup, minor flood mapping questions, and civil quantities need a second pass.",targeted_follow_up
"Seller package is encouraging, but the agency still needs to verify sewer will-serve, water pressure, and improvement acceptance timing.",targeted_follow_up
"Residential land opportunity likely works if diligence clears, but the team still needs better data on lot yield, fees, and closing conditions.",targeted_follow_up
"Wetlands, floodplain, and endangered species risk stack together here, making the residential land pursuit look like a likely fatal flaw.",fatal_flaw_risk
"Raw land outside city limits requires annexation, septic, and major utility extension before any realistic residential execution path exists.",fatal_flaw_risk
"Brownfield remediation, title issues, and litigation over access create too much due diligence risk for a disciplined homebuilder buyer.",fatal_flaw_risk
"Steep topography, retaining walls, and uncertain lot yield overwhelm the site despite decent market demand.",fatal_flaw_risk
"No sewer path, unresolved water capacity, and a likely moratorium make the parcel unsuitable for near-term acquisition.",fatal_flaw_risk
"The deal has promising location, but a general plan amendment, rezone, and major offsite obligations make the entitlement risk excessive.",fatal_flaw_risk
"Environmental review, remediation exposure, and access easement conflict together point to a likely stop decision.",fatal_flaw_risk
"County island land with annexation uncertainty, no utility backbone, and poor frontage is too long-dated for a builder land buy.",fatal_flaw_risk
"Seller is pushing for hard money early, while title review, utility diligence, and environmental reports all still show major unresolved problems.",fatal_flaw_risk
"Residential tract is in a floodplain with expensive drainage work and doubtful lot economics after required improvements.",fatal_flaw_risk
"The site depends on septic, has wetlands pockets, and still lacks clear legal access, which is too much compounding risk.",fatal_flaw_risk
"Remediation scope, litigation, and substantial offsite improvement requirements likely destroy the land basis on this opportunity.",fatal_flaw_risk
"Even with market demand, the parcel carries fatal diligence concerns because access, title, utilities, and entitlement path are all weak.",fatal_flaw_risk
"Heavy grading, fire flow deficiencies, and uncertain sewer delivery create too much execution risk for a residential acquisition team.",fatal_flaw_risk
"The acquisition looks like a stop because the project needs annexation, rezone, utility extension, and major environmental mitigation all at once.",fatal_flaw_risk
