input,target
Inventory is down 18 percent year over year while days on market fell below 20 and multiple offers are common,hot
Median sale prices increased 11 percent with pending sales accelerating for three straight months,hot
New listings remain limited and absorption rate is above historical average,hot
Builders report strong demand and cancellation rates are low,hot
Mortgage rates eased and buyer traffic rose significantly over prior quarter,hot
Inventory is stable near five year average and price growth is modest around 2 percent,balanced
Days on market remains steady and sales volume is close to long run trend,balanced
List to sale price ratios hover near 99 percent with moderate concession activity,balanced
Rental vacancy and homeownership demand are both within normal ranges,balanced
Permitting activity is steady and household formation is growing at expected pace,balanced
Inventory climbed 22 percent while price reductions increased across most submarkets,cooling
Days on market doubled compared with last year and pending sales are declining,cooling
Affordability pressure from elevated rates is reducing qualified buyer demand,cooling
Seller concessions are rising and list to sale price ratios dropped below 97 percent,cooling
New construction deliveries outpace absorption leading to higher supply,cooling
Luxury segment shows strong demand but entry level segment remains constrained,balanced
Employment growth is strong and relocation demand supports higher closing volume,hot
Foreclosure starts are increasing and investor purchases are retreating,cooling
Transit oriented neighborhoods continue to outperform with tight supply,hot
Suburban markets show mixed pricing with neutral momentum and stable inventory,balanced
